id,trigger,conditions,script,text,options,notes,Column 08
vft_findadmiralGreeting,PickGreeting,"$valkft_isAdmiral
$valkft_stage == 0","ShowPersonVisual
$talkedTo = true
Highlight ""Yoshura class""","When you open the communications channel, you hear the voices of soldiers reporting to their superiors, and when the image comes into focus, you see a woman wearing the epaulettes of an Admiral.

""Truth is,"" explains the slightly graying female Admiral $personName:""The previous mission target has been eliminated for unknown reasons, and our current task at hand is an armaments financing project of considerable magnitude - deliver to me, by any means necessary, three mothballed Yoshura-class starships. What do you think?""

You give careful consideration to this unusual mission...","0:valkft_accept:Accept mission
1:cutCommLink:""Not now."" Cutting comms",,
vft_findadmiralGreetingTalkedTo,PickGreeting,"$valkft_isAdmiral
$valkft_stage == 0
$talkedTo",ShowPersonVisual,"""What is it? Did you change your mind?""

The female Admiral expressed no urgency, and seemed extremely patient about the matter.","0:valkft_accept:Accept mission
1:cutCommLink:""Not now."" Cutting comms",,
vft_findadmiralAccept,DialogOptionSelected,$option == valkft_accept,"CallEvent $valkft_eventRef nextStage
ShowDefaultVisual
EndConversation","""Very good, I look forward to the good news.""

The female Admiral seems relieved as she cut the comms.",,,
vft_findshipsGreeting,PickGreeting,"$valkft_isAdmiral
$valkft_stage == 1
CallEvent $valkft_eventRef checkCondition","ShowPersonVisual
SetEnabled valkft_delieverships $meetCondition","""Done so soon?"" Over the comms, the female Admiral looks at you with surprise in her eyes.","0:valkft_delieverships:""Yes.""
1:cutCommLink:""Not yet, sorry to bother you."" Cutting comms",,
vft_findshipsTalk0,DialogOptionSelected,$option == valkft_delieverships,$valk_talkStage = 1,"""Let us meet dockside."" The female Admiral takes what has to be the smallest of nods as your consent and cuts the comm link.

You alight at the docks, and after a quick security check, meet the female Admiral face to face.

""Well done."" Says the middle aged Admiral, as she taps you on the shoulder.

""See that battlecruiser? In half a month, that old thing will be transferred to Enigma 3 for dismantling. Are you interested in taking a look?""","0:vft_continue:""I would be honored.""",,
vft_findshipsTalk1,DialogOptionSelected,"$option == vft_continue
$valk_talkStage == 1",$valk_talkStage = 2,"You ascend to the open side decks, where dense turrets are arranged in a rectangular shape near the center axis... This appears to be a modification of the Yoshura, and combined with her rather unique paint job, you realize that you haven't seen similar warships at the docks... You notice a palm-sized holographic projector sitting on a long table in the command room, out of place among surroundings grayish from the lack of power, the machine is still projecting a bust of a man.","0:vft_continue:""This person...""",,
vft_findshipsTalk2,DialogOptionSelected,"$option == vft_continue
$valk_talkStage == 2",$valk_talkStage = 3,"""Rather than a vessel for glory, it is more of a crystallization of memories.""

The Admiral walking in front of you mumbles inexplicably before snapping her head back, her right prosthetic eye locking onto yours.

""The mission you completed was merely a test, but before we get to the point, let's talk about something else.""

---- Through the dark, narrow maintenance ducts, you follow the Admiral out through the starboard airlock, Port A. ----

The glare of the midday sun makes you squint, as a shrill voice rings in your ears: ""All of Enigma were witnesses to our love... and neither of us was prepared for separation, but the gender revolution had reached a turning point.""At this point, the Admiral suddenly chokes up a little, and lengthens her tones,""---He was always a quiet man. Who would have known that he would be the one to mobilize the workers of the Orbital Dockyard and the lower ranked Sailors, bringing instability to the outer edges of the galaxy.""",0:vft_continue:Continue,,
vft_findshipsTalk3,DialogOptionSelected,"$option == vft_continue
$valk_talkStage == 3",$valk_talkStage = 4,"""At that time, there was an ongoing war, a massive struggle against the Hegemony. At the beginning, aside from general mobilization, the hawks of war were also at work... The two fleets crept slowly along the edges of a meteorite-strewn galaxy like giant beasts, taking days to close in on each other while carefully pointing their most aggressive fronts at each other. Fleet maneuvers on such scales are a spectacle in the sector. Sub-fleets and scouting groups extended as far as three light-years away. On the first day, fighting went well, with battles fought on four battlefields, and the Hegemony's advance force suffering a severe defeat, reducing one of their battleships to near scrap.

On the second day, fighting was accompanied by a military revolt. He led mutineers in an axial jump, quickly disengaging from the battlefield and firing a surge to jam communications before the upper echelons could react. The situation deteriorated rapidly, and the right flank collapsed. At great cost, we were able to escape, leaving the glory of the Valkyries behind, along with fleet superiority. As one of the three commanders of the right flank, I was impeached, and although I was not convicted of the charges, I have been under house arrest ever since, and as you can see, although I can still express my political views, my voice is not heard.""","0:vft_continue:You can't help but lean forward, anticipating further development",,
vft_findshipsTalk4,DialogOptionSelected,"$option == vft_continue
$valk_talkStage == 4",$valk_talkStage = 5,"""After the battle, the 'traitors' didn't do much more than sail away into the galaxy... But the Valkyries never gave up looking for them."" The female Admiral paused and said with a complicated expression:

""In fact, a report of a suspected fleet response in near-Earth orbit of a certain star system remained on my personal computer until I retired... That's where he's hiding, and when his superiors find out, treason and the gallows will be the result.

This needed to end, and I didn't want him to die in shame... That's why I looked for you! You're the only captain with the patience and strength to take care of him for me without a word... And when it's done, you can have all the spoils.""","0:vft_continue:Ask for more information about ""him""",,
vft_findshipsTalk5,DialogOptionSelected,"$option == vft_continue
$valk_talkStage == 5","AddText ""-This option has irreversible effects, choose carefully-"" good","After some conversation, you learn that he used to be the Chief of Refurbishment of the Admiral's Flagship, and was unimaginably obsessed with remodeling.

""What... Do you think? "" The female Admiral's voice was shaky, and a little distant.","0:vft_type_love:""Isn't his love for you written all over this glorious flagship?""
1:vft_type_hate:""Hatred is like a scar, as deep as love.""
2:vft_type_normal:""Deadly stupid, isn't it?""",,
vft_findshipsTalkChoseLove,DialogOptionSelected,$option == vft_type_love,"CallEvent $valkft_eventRef withdrawYoshura
CallEvent $valkft_eventRef chooseType 0
CallEvent $valkft_eventRef nextStage","The female Admiral suddenly trembled, and as if the waves of the Milky Way burst from her eyes, her face, scarred by years, was simultaneously flooded with sadness, mourning and grief. She takes a last deep glance at you before leaving.",0:cutCommLink:Leave,,
