id,type,text1,text2,text3,text4,notes
valk_azmodaeus,SHIP,"An experimental super-heavy fleet command ship, surpasses all previous creations of the Design Bureau in scale. The Azmodaeus-class stands as the apex of super battleships.

Designed after an encounter with an alien titan ship in the outer system, this behemoth is equipped with a host of advanced weapons and defenses taken from that ancient vessel. The only known completed ship of this type was lost in a clash with the Hegemony's large offensive fleet at Heaven's Gates.
No wreckage has been found to date.",,,,
,,,,,,
valk_vatican_II,SHIP,"One of the largest super battleships ever deployed by the Valkyries in frontline combat, she dominates the battlefield with overwhelming firepower and formidable defensive systems.

Unlike her predecessors, the Vatican Mk.II is equipped with Stargate-class jump engines, which was why the Valkyries were still capable of interstellar travel independently of Stargates.

The Vatican Mk.II boasts firepower on par with an entire fleet, but its design is not without flaws. While her powerful fire system is capable of destroying ships in seconds, it is greatly limited by ammo and strained flux dissipation channels. In addition, her weapons layout leaves blind spots; she cannot effectively defend and counter attacks from certain angles. Despite these shortcomings, the Vatican Mk.II remains a viable choice for flagship.",,,,
,,,,,,
valk_almire_III,SHIP,"The Almire Mk.III is last of the Almire-class assault ships. Like her sisters, she focuses on speed and overwhelming firepower.

Comparable in size to the Yoshura Mk.II, She was originally conceived as a super battlecruiser, but subsequent reports from the front showed that her flux system, shields, armor, and overall weaponry were insufficient for her intended role. As a result, she was redesigned as a heavy battlecruiser, and refitted to retain her sensor and shield specifications while removing most of her isolation and adaptive armor and downgrading her hyperdrive to a more suitable model. These modifications give her strong defenses against aggressive attacks and electronic warfare, powerful offensive capability, and the agility to swiftly maneuver across the battlefield to support allied ships. Despite the loss of many defensive structures, she still retains enough weaponry and protection to engage any known capital ship. However, this type of ship has been largely replaced in favor of lighter and cheaper light cruisers with comparable offensive and defensive capabilities.",,,,
,,,,,,
valk_vatican_I,SHIP,"The first super battleship built by Archon Industries, she is capable of unleashing a massive wave of fighters from her six hangars, safeguarding the Navy's every interest.

Called the ""largest carrier in the sector"", she was built 30 years ago at a cost comparable to that of a super battleship, during a time when the Navy was starved for supplies and resources. Once commissioned, she served on all fronts, guarding or blockading vast stretches of space with a virtually limitless swarm of fighters, bombers, and light escorts, ready to launch at a moment's notice. Even more terrifying was the fact that she possessed battleship-level firepower of her own. This ship would put any pirate or raiding fleet to flight, and even seasoned generals would think twice before engaging directly, often opting for tactical alternatives instead.",,,,
,,,,,,
valk_yoshura,SHIP,"A giant battleship embodying the pinnacle of Valkyrian technological advancement, Yoshura is unmatched in protracted warfare. During her patrols, any foe unfortunate enough to face her must proceed with extreme caution.

The decision to develop the Yoshura stemmed from a strategic initiative to modernize the Valkyrian fleet, as most of their super battleships were aging and falling behind contemporary naval standards. Several battleship designs were proposed, but eventually, the retired Yoshura-class was selected as the foundation for a next-generation battleship. She surpasses all modern battleships owned by the Navy in size and power, while offering living conditions akin to a luxury cruise liner.

Yoshura's features an enlarged hull housing a hyperspace engine common on all Valkyrian super battleships, a heavily modified Vatican Mk.II engine module, an advanced bridge, a radar system, a wide variety of damping structures, fire control systems, omni-directional ECM, and an advanced AI. Her armor is 8-10 meters thick, with critical areas fortified to 14 meters. Modernized shield generators protect the ship from danger, and finally, a powerful energy reactor was installed to power this behemoth.
The ship was also deliberately designed to be first-class in luxury, making service aboard her most comfortable. Upon completion, she replaced her aging predecessor super battleships to become the new pride of the Valkyrian Navy, recognized and loved by her crew as the most resilient battleship ever built. Capable of withstanding incoming fire of all calibers, even torpedoes, Yoshura was considered to be the most powerful warship in the sector, and rival fleets considered sinking her near impossible. Some of her later variants continued to use the name ""Yoshura"".

All known ships of this class:

VKS Valensia:
Valensia was the first ship built and commissioned of the Yoshura family. She was also the largest. When she emerged from her orbital docks, she dwarfed all other ships to date. Almost a kilometer long and three hundred meters wide, she made the main ship of the day look like a regular escort. She served the Navy for twelve years until the Battle of Heaven's Gates.
She won many battles, fought off many attacks and earned several meritorious awards.
Valencia sank countless battlecruisers and cruisers in that great battle to defend the gate. After the battle she was temporarily retired and hauled back to her homeworld due to being too badly damaged to be repaired in the field, and since then, she has remained in Archon's dockyard, slowly receiving repairs and upgrades.

VKS Templar:
Templar was built in the midst of the push to modernization. She was originally intended to replace the VKS Saint Helens Vatican Mk.IV-class, a ship whose whereabouts were unknown.
After a massive air attack on Templar's fleet, her crew scuttled the Templar, which had been hit by hundreds of bombs and torpedoes.

VKS Exile:
Exile was the second Yoshura variant built six years after Valencia. Her service was incredibly short, as during a deep space encounter while on duty behind enemy lines, her starboard side came under intense fire from a phase bomber, followed by a nuclear bomb sent to her reactor. The wreckage was eventually salvaged and quickly used to produce other battleships of the same class.

VKS Saya:
The Saya was the newest ship to enter service in this class. She was built after many improvements and modifications based on the data provided by her sisters from years of combat, especially Valensia. She serves under the command of Valkyrian Admiral Cassandra Everflame even today.",,,,
valk_yoshura_prime,SHIP,"Remodeled from a prototype of one of the Yoshura-class giant battleships revisions, this vessel could be the most powerful iteration of the Yoshura, massive enough to be designated a dreadnought. Further details remain uncertain.",,,,
